INFO  - 2014-04-29 12:38:55.317; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-04-29 12:38:55.317; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.317; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.317; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.318; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.318; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2014-04-29 12:38:55.318; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2014-04-29 12:38:55.318; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.318; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.319; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.319; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.334; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-04-29 12:38:55.336; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-04-29 12:38:55.337; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-04-29 12:38:55.351; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-04-29 12:38:55.352; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-04-29 12:38:55.357; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@79b0d33c; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-04-29 12:38:55.358; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-04-29 12:38:55.363; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3eaa3e5b main
INFO  - 2014-04-29 12:38:55.368; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-04-29 12:38:55.373; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-04-29 12:38:55.379; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-04-29 12:38:55.381; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\conf\elevate.xml
INFO  - 2014-04-29 12:38:55.407; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-04-29 12:38:55.408; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3eaa3e5b main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-04-29 12:38:55.408; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-04-29 12:38:55.412; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example
INFO  - 2014-04-29 12:38:55.412; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-04-29 12:38:55.443; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-04-29 12:38:55.450; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=40 
INFO  - 2014-04-29 12:38:55.450; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-04-29 12:38:55.450; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-04-29 12:38:55.450; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-04-29 12:38:55.451; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3eaa3e5b main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-04-29 12:40:46.227; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[GB18030TEST (1466748576666222592)]} 0 78
INFO  - 2014-04-29 12:40:46.244; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[SP2514N (1466748576712359936), 6H500F0 (1466748576717602816)]} 0 10
INFO  - 2014-04-29 12:40:46.253; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[F8V7067-APL-KIT (1466748576723894272), IW-02 (1466748576727040000)]} 0 6
INFO  - 2014-04-29 12:40:46.266; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[MA147LL/A (1466748576734380032)]} 0 10
INFO  - 2014-04-29 12:40:46.276; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[adata (1466748576748011520), apple (1466748576748011521), asus (1466748576749060096), ati (1466748576749060097), belkin (1466748576750108672), canon (1466748576751157248), corsair (1466748576751157249), dell (1466748576752205824), maxtor (1466748576752205825), samsung (1466748576753254400), ... (11 adds)]} 0 7
INFO  - 2014-04-29 12:40:46.289; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[TWINX2048-3200PRO (1466748576758497280), VS1GB400C3 (1466748576762691584), VDBDB1A16 (1466748576765837312)]} 0 10
INFO  - 2014-04-29 12:40:46.298; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[USD (1466748576771080192), EUR (1466748576773177344), GBP (1466748576774225920), NOK (1466748576776323072)]} 0 7
INFO  - 2014-04-29 12:40:46.303; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[3007WFP (1466748576780517376)]} 0 3
INFO  - 2014-04-29 12:40:46.309; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[VA902B (1466748576786808832)]} 0 3
INFO  - 2014-04-29 12:40:46.317; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[0579B002 (1466748576793100288)]} 0 5
INFO  - 2014-04-29 12:40:46.323; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[9885A004 (1466748576800440320)]} 0 4
